pozycja,player_slug,klub_slug,nazwa,wartosc
1,bartosz-nowak,gks-katowice,Bartosz NowakGKS Katowice,12
2,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,8
3,sebastian-kerk,arka-gdynia,Sebastian KerkArka Gdynia,7
3,rafa-wolski,radomiak-radom,Rafał WolskiRadomiak Radom,7
5,tomas-bobcek,lechia-gdansk,Tomáš BobčekLechia Gdańsk,6
5,luis-enrique-palma-oseguera,lech-poznan,Luis Enrique Palma OsegueraLech Poznań,6
5,adam-radwanski,zagebie-lubin,Adam RadwańskiKGHM Zagłębie Lubin,6
5,bartosz-wolski,motor-lublin,Bartosz WolskiMotor Lublin,6
9,lukas-ambros,gornik-zabrze,Lukáš AmbrosGórnik Zabrze,5
9,michael-ameyaw,rakow-czestochowa,Michael AmeyawRaków Częstochowa,5
9,aleksandar-cirkovic,lechia-gdansk,Aleksandar ĆirkovićLechia Gdańsk,5
9,alan-czerwinski,gks-katowice,Alan CzerwińskiGKS Katowice,5
9,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,5
9,jan-grzesik,radomiak-radom,Jan GrzesikRadomiak Radom,5
9,ajdin-hasic,cracovia,Ajdin HasićCracovia,5
9,damian-hilbrycht,nieciecza,Damian HilbrychtNieciecza,5
9,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,5
9,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,5
9,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,5
9,joel-vieira-pereira,lech-poznan,Joel PereiraLech Poznań,5
9,ivan-zhelizko,lechia-gdansk,Ivan ZhelizkoLechia Gdańsk,5
22,amir-fouad-aboud-al-ammari,cracovia,Amir Al AmmariCracovia,4
22,leandro-mario-balde-sanca,piast-gliwice,Leandro SancaPiast Gliwice,4
22,sebastian-bergier,widzew-lodz,Sebastian BergierWidzew Łódź,4
22,dawid-banik,korona-kielce,Dawid BłanikKorona Kielce,4
22,mohamed-lamine-diaby-fadiga,rakow-czestochowa,Mohamed Lamine Diaby-FadigaRaków Częstochowa,4
22,ivo-tiago-dos-santos-rodrigues,motor-lublin,Ivo RodriguesMotor Lublin,4
22,vasco-rafael-fortes-lopes,radomiak-radom,Vasco LopesRadomiak Radom,4
22,ali-gholizadeh-nojedeh,lech-poznan,Ali Gholizadeh NojedehLech Poznań,4
22,micha-gurgul,lech-poznan,Michał GurgulLech Poznań,4
22,filip-wojciech-jagieo,lech-poznan,Filip Wojciech JagiełłoLech Poznań,4
22,maksym-khlan,gornik-zabrze,Maksym KhlanGórnik Zabrze,4
22,jarosaw-kubicki,gornik-zabrze,Jarosław KubickiGórnik Zabrze,4
22,dominik-kun,wisla-plock,Dominik KunWisła Płock,4
22,marc-navarro-ceciliano,arka-gdynia,Marc Navarro CecilianoArka Gdynia,4
22,zie-mohamed-ouattara,radomiak-radom,Zié Mohamed OuattaraRadomiak Radom,4
22,bradly-van-hoeven,motor-lublin,Bradly van HoevenMotor Lublin,4
22,marcin-wasielewski,gks-katowice,Marcin WasielewskiGKS Katowice,4
22,bartomiej-wdowik,jagiellonia-bialystok,Bartłomiej WdowikJagiellonia Białystok,4
40,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,3
40,adriano-luis-amorim-santos,rakow-czestochowa,AdrianoRaków Częstochowa,3
40,elves-umar-balde,radomiak-radom,Elves BaldéRadomiak Radom,3
40,erik-martin-leo-bengtsson,lech-poznan,Erik Martin Leo BengtssonLech Poznań,3
40,marko-bulat,rakow-czestochowa,Marko BulatRaków Częstochowa,3
40,karol-czubak,motor-lublin,Karol CzubakMotor Lublin,3
