pozycja,player_slug,klub_slug,nazwa,wartosc
1,tomas-bobcek,lechia-gdansk,Tomáš BobčekLechia Gdańsk,44
2,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,27
3,karol-czubak,motor-lublin,Karol CzubakMotor Lublin,26
4,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,22
5,jonatan-braut-brunes,rakow-czestochowa,Jonatan Braut BrunesRaków Częstochowa,20
6,sebastian-bergier,widzew-lodz,Sebastian BergierWidzew Łódź,18
7,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,17
7,mileta-rajovic,legia-warszawa,Mileta RajovićLegia Warszawa,17
7,ukasz-sekulski,wisla-plock,Łukasz SekulskiWisła Płock,17
7,kamil-zapolnik,nieciecza,Kamil ZapolnikNieciecza,17
11,paul-omo-mukairu,pogon-szczecin,Paul Omo MukairuPogoń Szczecin,15
11,filip-stojilkovic,cracovia,Filip StojilkovićCracovia,15
13,antonio-cortes-heredia,korona-kielce,Antoñín CortésKorona Kielce,14
14,osvaldo-pedro-capemba,radomiak-radom,CapitaRadomiak Radom,13
14,jesus-jimenez-nunez,nieciecza,Jesús Jiménez NúñezNieciecza,13
14,leonardo-miramar-rocha,zagebie-lubin,Leonardo RochaKGHM Zagłębie Lubin,13
14,mbaye-jacques-ndiaye,motor-lublin,Mbaye Jacques N'DiayeMotor Lublin,13
14,mariusz-pawe-stepinski,korona-kielce,Mariusz Paweł StępińskiKorona Kielce,13
19,erik-martin-leo-bengtsson,lech-poznan,Erik Martin Leo BengtssonLech Poznań,12
19,mohamed-lamine-diaby-fadiga,rakow-czestochowa,Mohamed Lamine Diaby-FadigaRaków Częstochowa,12
19,ilya-shkurin,legia-warszawa,Ilya ShkurinLegia Warszawa,12
22,german-barkovskiy,piast-gliwice,German BarkovskiyPiast Gliwice,11
22,jan-grzesik,radomiak-radom,Jan GrzesikRadomiak Radom,11
22,krzysztof-kubica,nieciecza,Krzysztof KubicaNieciecza,11
22,sondre-liseth,gornik-zabrze,Sondre LisethGórnik Zabrze,11
22,maurides-roque-junior,radomiak-radom,MauridesRadomiak Radom,11
27,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,10
27,arkadiusz-jedrych,gks-katowice,Arkadiusz JędrychGKS Katowice,10
27,abdoul-fessal-tapsoba,radomiak-radom,Abdoul Fessal TapsobaRadomiak Radom,10
30,dawid-banik,korona-kielce,Dawid BłanikKorona Kielce,9
30,efthymios-koulouris,pogon-szczecin,Efthymios KoulourisPogoń Szczecin,9
30,patryk-makuch,rakow-czestochowa,Patryk MakuchRaków Częstochowa,9
30,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,9
30,giannis-niarchos,wisla-plock,Giannis NiarchosWisła Płock,9
30,marcel-wojciech-regua,zagebie-lubin,Marcel Wojciech RegułaKGHM Zagłębie Lubin,9
30,konstantinos-sotiriou,korona-kielce,Konstantinos SotiriouKorona Kielce,9
37,borja-galan-gonzalez,gks-katowice,Borja Galán GonzálezGKS Katowice,8
37,vladislavs-gutkovskis,arka-gdynia,Vladislavs GutkovskisArka Gdynia,8
37,ajdin-hasic,cracovia,Ajdin HasićCracovia,8
37,deni-juric,wisla-plock,Deni JuricWisła Płock,8
37,jarosaw-kubicki,gornik-zabrze,Jarosław KubickiGórnik Zabrze,8
37,rajmund-molnar,pogon-szczecin,Rajmund MolnárPogoń Szczecin,8
