pozycja,player_slug,klub_slug,nazwa,wartosc
1,joel-vieira-pereira,lech-poznan,Joel PereiraLech Poznań,132
2,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,118
3,erik-janza,gornik-zabrze,Erik JanžaGórnik Zabrze,117
4,matus-vojtko,lechia-gdansk,Matúš VojtkoLechia Gdańsk,110
5,leandro-mario-balde-sanca,piast-gliwice,Leandro SancaPiast Gliwice,102
6,marcin-wasielewski,gks-katowice,Marcin WasielewskiGKS Katowice,99
7,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,97
7,zan-rogelj,wisla-plock,Žan RogeljWisła Płock,97
9,damian-hilbrycht,nieciecza,Damian HilbrychtNieciecza,93
10,erik-jirka,piast-gliwice,Erik JirkaPiast Gliwice,91
10,pawe-marek-wszoek,legia-warszawa,Paweł Marek WszołekLegia Warszawa,91
12,konrad-matuszewski,korona-kielce,Konrad MatuszewskiKorona Kielce,88
12,bartosz-wolski,motor-lublin,Bartosz WolskiMotor Lublin,88
14,marc-navarro-ceciliano,arka-gdynia,Marc Navarro CecilianoArka Gdynia,81
15,quentin-lecoeuche,wisla-plock,Quentin LecoeucheWisła Płock,80
16,luis-enrique-palma-oseguera,lech-poznan,Luis Enrique Palma OsegueraLech Poznań,78
17,alejandro-pozo-pozo,jagiellonia-bialystok,Alejandro Pozo PozoJagiellonia Białystok,76
18,jan-grzesik,radomiak-radom,Jan GrzesikRadomiak Radom,75
19,michael-ameyaw,rakow-czestochowa,Michael AmeyawRaków Częstochowa,74
20,jakub-lewicki,piast-gliwice,Jakub LewickiPiast Gliwice,72
20,bartomiej-wdowik,jagiellonia-bialystok,Bartłomiej WdowikJagiellonia Białystok,72
22,sebastian-kerk,arka-gdynia,Sebastian KerkArka Gdynia,70
22,pawe-mirosaw-olkowski,gornik-zabrze,Paweł Mirosław OlkowskiGórnik Zabrze,70
24,adriano-luis-amorim-santos,rakow-czestochowa,AdrianoRaków Częstochowa,68
25,josip-corluka,zagebie-lubin,Josip ĆorlukaKGHM Zagłębie Lubin,65
26,ruben-goncalo-da-silva-nascimento-vinagre,legia-warszawa,Rúben VinagreLegia Warszawa,64
26,micha-krol,motor-lublin,Michał KrólMotor Lublin,64
28,borja-galan-gonzalez,gks-katowice,Borja Galán GonzálezGKS Katowice,63
29,aleksandar-cirkovic,lechia-gdansk,Aleksandar ĆirkovićLechia Gdańsk,62
29,leonardo-pablo-koutris,pogon-szczecin,Leonárdo Páblo KoútrisPogoń Szczecin,62
31,vasco-rafael-fortes-lopes,radomiak-radom,Vasco LopesRadomiak Radom,61
32,radu-stefanita-boboc,nieciecza,Radu Ștefăniță BobocNieciecza,60
32,mariusz-fornalczyk,widzew-lodz,Mariusz FornalczykWidzew Łódź,60
34,ajdin-hasic,cracovia,Ajdin HasićCracovia,59
34,mauro-perkovic,cracovia,Mauro PerkovićCracovia,59
36,leonardo-borges-da-silva,pogon-szczecin,Léo BorgesPogoń Szczecin,58
36,zie-mohamed-ouattara,radomiak-radom,Zié Mohamed OuattaraRadomiak Radom,58
38,fran-tudor,rakow-czestochowa,Fran TudorRaków Częstochowa,55
39,filip-luberecki,motor-lublin,Filip LubereckiMotor Lublin,54
39,luka-lucic,zagebie-lubin,Luka LučićKGHM Zagłębie Lubin,54
