pozycja,player_slug,klub_slug,nazwa,wartosc
1,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,130
2,maksym-khlan,gornik-zabrze,Maksym KhlanGórnik Zabrze,113
3,adriano-luis-amorim-santos,rakow-czestochowa,AdrianoRaków Częstochowa,101
4,paul-omo-mukairu,pogon-szczecin,Paul Omo MukairuPogoń Szczecin,97
5,vasco-rafael-fortes-lopes,radomiak-radom,Vasco LopesRadomiak Radom,94
6,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,92
7,mariusz-fornalczyk,widzew-lodz,Mariusz FornalczykWidzew Łódź,91
8,ivo-tiago-dos-santos-rodrigues,motor-lublin,Ivo RodriguesMotor Lublin,90
8,dawid-kocya,arka-gdynia,Dawid KocyłaArka Gdynia,90
10,angel-baena-perez,widzew-lodz,Ángel Baena PérezWidzew Łódź,84
11,morgan-kwasi-fabender,nieciecza,Morgan Kwasi FaßbenderNieciecza,81
12,fabio-ronaldo-da-costa-conceicao,motor-lublin,Fábio RonaldoMotor Lublin,79
13,michael-ameyaw,rakow-czestochowa,Michael AmeyawRaków Częstochowa,76
13,marcel-wojciech-regua,zagebie-lubin,Marcel Wojciech RegułaKGHM Zagłębie Lubin,76
15,leandro-mario-balde-sanca,piast-gliwice,Leandro SancaPiast Gliwice,74
16,ousmane-sow,gornik-zabrze,Ousmane SowGórnik Zabrze,72
17,bartosz-nowak,gks-katowice,Bartosz NowakGKS Katowice,71
17,juljan-shehu,widzew-lodz,Juljan ShehuWidzew Łódź,71
19,ermal-krasniqi,legia-warszawa,Ermal KrasniqiLegia Warszawa,69
20,mohamed-lamine-diaby-fadiga,rakow-czestochowa,Mohamed Lamine Diaby-FadigaRaków Częstochowa,68
21,ajdin-hasic,cracovia,Ajdin HasićCracovia,67
22,wiktor-nowak,wisla-plock,Wiktor NowakWisła Płock,66
23,bartosz-mazurek,jagiellonia-bialystok,Bartosz MazurekJagiellonia Białystok,64
24,kajetan-szmyt,zagebie-lubin,Kajetan SzmytKGHM Zagłębie Lubin,62
25,dawid-banik,korona-kielce,Dawid BłanikKorona Kielce,61
25,antonio-cortes-heredia,korona-kielce,Antoñín CortésKorona Kielce,61
27,wiktor-dugosz,korona-kielce,Wiktor DługoszKorona Kielce,60
27,hugo-claudio-vallejo-aviles,piast-gliwice,Hugo Claudio Vallejo AvilésPiast Gliwice,60
29,erik-martin-leo-bengtsson,lech-poznan,Erik Martin Leo BengtssonLech Poznań,57
29,luis-enrique-palma-oseguera,lech-poznan,Luis Enrique Palma OsegueraLech Poznań,57
31,aleksandar-cirkovic,lechia-gdansk,Aleksandar ĆirkovićLechia Gdańsk,55
31,stjepan-davidovic,korona-kielce,Stjepan DavidovićKorona Kielce,55
33,samuel-akere,widzew-lodz,Samuel AkereWidzew Łódź,52
33,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,52
33,mbaye-jacques-ndiaye,motor-lublin,Mbaye Jacques N'DiayeMotor Lublin,52
33,oskar-pietuszewski,jagiellonia-bialystok,Oskar PietuszewskiJagiellonia Białystok,52
33,tamar-svetlin,korona-kielce,Tamar SvetlinKorona Kielce,52
38,jean-carlos-silva-rocha,rakow-czestochowa,Jean Carlos Silva RochaRaków Częstochowa,50
38,bradly-van-hoeven,motor-lublin,Bradly van HoevenMotor Lublin,50
40,rifet-kapic,lechia-gdansk,Rifet KapičLechia Gdańsk,49
40,martin-christophe-jannick-remacle,korona-kielce,Martin Christophe Jannick RemacleKorona Kielce,49
42,osvaldo-pedro-capemba,radomiak-radom,CapitaRadomiak Radom,48
42,zie-mohamed-ouattara,radomiak-radom,Zié Mohamed OuattaraRadomiak Radom,48
44,taofeek-ajibade-ismaheel,gornik-zabrze,Taofeek Ajibade IsmaheelGórnik Zabrze,47
45,lukas-ambros,gornik-zabrze,Lukáš AmbrosGórnik Zabrze,46
45,vahan-bichakhchyan,legia-warszawa,Vahan BichakhchyanLegia Warszawa,46
45,ali-gholizadeh-nojedeh,lech-poznan,Ali Gholizadeh NojedehLech Poznań,46
45,sondre-liseth,gornik-zabrze,Sondre LisethGórnik Zabrze,46
45,pau-sans-lopez,cracovia,Pau Sans LópezCracovia,46
50,jesus-jimenez-nunez,nieciecza,Jesús Jiménez NúñezNieciecza,44
50,marcel-wedrychowski,gks-katowice,Marcel WędrychowskiGKS Katowice,44
52,mateusz-kowalczyk,gks-katowice,Mateusz KowalczykGKS Katowice,43
52,micha-krol,motor-lublin,Michał KrólMotor Lublin,43
54,jorge-felix-munoz-garcia,piast-gliwice,Jorge Félix Muñoz GarcíaPiast Gliwice,42
54,jakub-sypek,zagebie-lubin,Jakub SypekKGHM Zagłębie Lubin,42
56,maciej-ambrosiewicz,nieciecza,Maciej AmbrosiewiczNieciecza,41
56,adam-radwanski,zagebie-lubin,Adam RadwańskiKGHM Zagłębie Lubin,41
58,borja-galan-gonzalez,gks-katowice,Borja Galán GonzálezGKS Katowice,40
58,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,40
58,daniel-pacheco-lobato,wisla-plock,Dani PachecoWisła Płock,40
58,zan-rogelj,wisla-plock,Žan RogeljWisła Płock,40
58,jens-patrik-walemark,lech-poznan,Jens Patrik WålemarkLech Poznań,40
63,yvan-ikia-dimi-1,gornik-zabrze,Yvan Ikia DimiGórnik Zabrze,39
63,erik-jirka,piast-gliwice,Erik JirkaPiast Gliwice,39
65,tomas-bobcek,lechia-gdansk,Tomáš BobčekLechia Gdańsk,38
65,pawe-mirosaw-olkowski,gornik-zabrze,Paweł Mirosław OlkowskiGórnik Zabrze,38
67,lucas-lima-linhares,radomiak-radom,LuquinhasRadomiak Radom,37
67,pablo-rodriguez-delgado,lech-poznan,Pablo Rodríguez DelgadoLech Poznań,37
67,igor-strzaek,nieciecza,Igor StrzałekNieciecza,37
67,wojciech-urbanski,legia-warszawa,Wojciech UrbanskiLegia Warszawa,37
71,elves-umar-balde,radomiak-radom,Elves BaldéRadomiak Radom,36
71,juergen-farid-elitim-sepulveda,legia-warszawa,Juergen Farid Elitim SepúlvedaLegia Warszawa,36
71,kamil-jakubczyk,arka-gdynia,Kamil JakubczykArka Gdynia,36
71,tomasz-pienko,zagebie-lubin,Tomasz PieńkoKGHM Zagłębie Lubin,36
71,rafa-wolski,radomiak-radom,Rafał WolskiRadomiak Radom,36
76,musa-juwara,pogon-szczecin,Musa JuwaraPogoń Szczecin,35
76,marcel-krajewski,widzew-lodz,Marcel KrajewskiWidzew Łódź,35
76,filip-luberecki,motor-lublin,Filip LubereckiMotor Lublin,35
76,patryk-konrad-szysz,arka-gdynia,Patryk Konrad SzyszArka Gdynia,35
76,joel-vieira-pereira,lech-poznan,Joel PereiraLech Poznań,35
