pozycja,player_slug,klub_slug,nazwa,wartosc
1,tomas-bobcek,lechia-gdansk,Tomáš BobčekLechia Gdańsk,19
2,karol-czubak,motor-lublin,Karol CzubakMotor Lublin,18
3,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,16
4,jonatan-braut-brunes,rakow-czestochowa,Jonatan Braut BrunesRaków Częstochowa,15
4,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,15
6,sebastian-bergier,widzew-lodz,Sebastian BergierWidzew Łódź,14
7,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,10
8,sondre-liseth,gornik-zabrze,Sondre LisethGórnik Zabrze,8
8,leonardo-miramar-rocha,zagebie-lubin,Leonardo RochaKGHM Zagłębie Lubin,8
8,luis-enrique-palma-oseguera,lech-poznan,Luis Enrique Palma OsegueraLech Poznań,8
8,ukasz-sekulski,wisla-plock,Łukasz SekulskiWisła Płock,8
12,jan-grzesik,radomiak-radom,Jan GrzesikRadomiak Radom,7
12,ajdin-hasic,cracovia,Ajdin HasićCracovia,7
12,eman-markovic,gks-katowice,Eman MarkovićGKS Katowice,7
12,paul-omo-mukairu,pogon-szczecin,Paul Omo MukairuPogoń Szczecin,7
12,bartosz-nowak,gks-katowice,Bartosz NowakGKS Katowice,7
12,maurides-roque-junior,radomiak-radom,MauridesRadomiak Radom,7
12,filip-stojilkovic,cracovia,Filip StojilkovićCracovia,7
19,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,6
19,dawid-banik,korona-kielce,Dawid BłanikKorona Kielce,6
19,eduardo-david-espiau-hernandez,arka-gdynia,Eduardo David Espiau HernándezArka Gdynia,6
19,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,6
19,arkadiusz-jedrych,gks-katowice,Arkadiusz JędrychGKS Katowice,6
19,erik-jirka,piast-gliwice,Erik JirkaPiast Gliwice,6
19,lukas-rafael-klemenz,gks-katowice,Lukas Rafael KlemenzGKS Katowice,6
19,michalis-kosidis,zagebie-lubin,Michalis KosidisKGHM Zagłębie Lubin,6
19,mbaye-jacques-ndiaye,motor-lublin,Mbaye Jacques N'DiayeMotor Lublin,6
19,mileta-rajovic,legia-warszawa,Mileta RajovićLegia Warszawa,6
19,kamil-zapolnik,nieciecza,Kamil ZapolnikNieciecza,6
30,elves-umar-balde,radomiak-radom,Elves BaldéRadomiak Radom,5
30,erik-martin-leo-bengtsson,lech-poznan,Erik Martin Leo BengtssonLech Poznań,5
30,osvaldo-pedro-capemba,radomiak-radom,CapitaRadomiak Radom,5
30,mohamed-lamine-diaby-fadiga,rakow-czestochowa,Mohamed Lamine Diaby-FadigaRaków Częstochowa,5
30,jesus-jimenez-nunez,nieciecza,Jesús Jiménez NúñezNieciecza,5
30,deni-juric,wisla-plock,Deni JuricWisła Płock,5
30,maksym-khlan,gornik-zabrze,Maksym KhlanGórnik Zabrze,5
30,krzysztof-kubica,nieciecza,Krzysztof KubicaNieciecza,5
