pozycja,player_slug,klub_slug,nazwa,wartosc
1,tomas-bobcek,lechia-gdansk,Tomáš BobčekLechia Gdańsk,26
2,karol-czubak,motor-lublin,Karol CzubakMotor Lublin,21
2,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,21
2,bartosz-nowak,gks-katowice,Bartosz NowakGKS Katowice,21
5,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,20
6,sebastian-bergier,widzew-lodz,Sebastian BergierWidzew Łódź,18
6,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,18
8,jonatan-braut-brunes,rakow-czestochowa,Jonatan Braut BrunesRaków Częstochowa,16
8,luis-enrique-palma-oseguera,lech-poznan,Luis Enrique Palma OsegueraLech Poznań,16
10,dawid-banik,korona-kielce,Dawid BłanikKorona Kielce,13
10,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,13
12,jan-grzesik,radomiak-radom,Jan GrzesikRadomiak Radom,12
12,ajdin-hasic,cracovia,Ajdin HasićCracovia,12
12,bartosz-wolski,motor-lublin,Bartosz WolskiMotor Lublin,12
12,rafa-wolski,radomiak-radom,Rafał WolskiRadomiak Radom,12
12,ivan-zhelizko,lechia-gdansk,Ivan ZhelizkoLechia Gdańsk,12
17,mohamed-lamine-diaby-fadiga,rakow-czestochowa,Mohamed Lamine Diaby-FadigaRaków Częstochowa,11
17,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,11
17,sebastian-kerk,arka-gdynia,Sebastian KerkArka Gdynia,11
17,maurides-roque-junior,radomiak-radom,MauridesRadomiak Radom,11
21,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,10
21,ali-gholizadeh-nojedeh,lech-poznan,Ali Gholizadeh NojedehLech Poznań,10
21,damian-hilbrycht,nieciecza,Damian HilbrychtNieciecza,10
21,maksym-khlan,gornik-zabrze,Maksym KhlanGórnik Zabrze,10
21,mbaye-jacques-ndiaye,motor-lublin,Mbaye Jacques N'DiayeMotor Lublin,10
21,adam-radwanski,zagebie-lubin,Adam RadwańskiKGHM Zagłębie Lubin,10
27,erik-martin-leo-bengtsson,lech-poznan,Erik Martin Leo BengtssonLech Poznań,9
27,aleksandar-cirkovic,lechia-gdansk,Aleksandar ĆirkovićLechia Gdańsk,9
27,sondre-liseth,gornik-zabrze,Sondre LisethGórnik Zabrze,9
