pozycja,player_slug,klub_slug,nazwa,wartosc
1,bartosz-nowak,gks-katowice,Bartosz NowakGKS Katowice,79
2,joel-vieira-pereira,lech-poznan,Joel PereiraLech Poznań,64
3,bartosz-wolski,motor-lublin,Bartosz WolskiMotor Lublin,62
4,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,61
5,erik-janza,gornik-zabrze,Erik JanžaGórnik Zabrze,56
6,rifet-kapic,lechia-gdansk,Rifet KapičLechia Gdańsk,54
7,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,52
8,dawid-banik,korona-kielce,Dawid BłanikKorona Kielce,51
9,sebastian-kerk,arka-gdynia,Sebastian KerkArka Gdynia,49
9,bartomiej-wdowik,jagiellonia-bialystok,Bartłomiej WdowikJagiellonia Białystok,49
11,damian-hilbrycht,nieciecza,Damian HilbrychtNieciecza,46
12,mateusz-andrzej-klich,cracovia,Mateusz Andrzej KlichCracovia,45
13,luis-enrique-palma-oseguera,lech-poznan,Luis Enrique Palma OsegueraLech Poznań,44
14,daniel-pacheco-lobato,wisla-plock,Dani PachecoWisła Płock,43
15,lukas-ambros,gornik-zabrze,Lukáš AmbrosGórnik Zabrze,42
15,juergen-farid-elitim-sepulveda,legia-warszawa,Juergen Farid Elitim SepúlvedaLegia Warszawa,42
15,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,42
18,rafa-wolski,radomiak-radom,Rafał WolskiRadomiak Radom,41
19,maciej-ambrosiewicz,nieciecza,Maciej AmbrosiewiczNieciecza,40
19,michael-ameyaw,rakow-czestochowa,Michael AmeyawRaków Częstochowa,40
21,patryk-dziczek,piast-gliwice,Patryk DziczekPiast Gliwice,39
22,aleksandar-cirkovic,lechia-gdansk,Aleksandar ĆirkovićLechia Gdańsk,38
22,ali-gholizadeh-nojedeh,lech-poznan,Ali Gholizadeh NojedehLech Poznań,38
22,sondre-liseth,gornik-zabrze,Sondre LisethGórnik Zabrze,38
25,damian-dabrowski,zagebie-lubin,Damian DąbrowskiKGHM Zagłębie Lubin,35
25,wiktor-dugosz,korona-kielce,Wiktor DługoszKorona Kielce,35
27,ivan-zhelizko,lechia-gdansk,Ivan ZhelizkoLechia Gdańsk,34
28,tamar-svetlin,korona-kielce,Tamar SvetlinKorona Kielce,33
29,micha-ukasz-chrapek,piast-gliwice,Michał Łukasz ChrapekPiast Gliwice,32
29,erik-jirka,piast-gliwice,Erik JirkaPiast Gliwice,32
29,marc-navarro-ceciliano,arka-gdynia,Marc Navarro CecilianoArka Gdynia,32
29,adam-radwanski,zagebie-lubin,Adam RadwańskiKGHM Zagłębie Lubin,32
29,martin-christophe-jannick-remacle,korona-kielce,Martin Christophe Jannick RemacleKorona Kielce,32
34,pablo-rodriguez-delgado,lech-poznan,Pablo Rodríguez DelgadoLech Poznań,31
35,ajdin-hasic,cracovia,Ajdin HasićCracovia,30
35,zie-mohamed-ouattara,radomiak-radom,Zié Mohamed OuattaraRadomiak Radom,30
37,marko-bulat,rakow-czestochowa,Marko BulatRaków Częstochowa,29
37,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,29
37,bartosz-kapustka,legia-warszawa,Bartosz KapustkaLegia Warszawa,29
37,alejandro-pozo-pozo,jagiellonia-bialystok,Alejandro Pozo PozoJagiellonia Białystok,29
41,jason-eyenga-lokilo,piast-gliwice,Jason Eyenga LokiloPiast Gliwice,28
41,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,28
41,juljan-shehu,widzew-lodz,Juljan ShehuWidzew Łódź,28
