pozycja,player_slug,klub_slug,nazwa,wartosc
1,peter-nysted-therkildsen,widzew-lodz,Peter Nysted TherkildsenWidzew Łódź,100%
1,luis-perea-hernandez,arka-gdynia,Luis Perea HernándezArka Gdynia,100%
3,hussein-haydar-hussein-ali,pogon-szczecin,Hussein AliPogoń Szczecin,67%
4,karol-jerzy-angielski,pogon-szczecin,Karol Jerzy AngielskiPogoń Szczecin,50%
4,mohamed-awad-alla-hassan-ibrahim-1,lechia-gdansk,Mohamed Awad AllaLechia Gdańsk,50%
4,dimitris-rallis,jagiellonia-bialystok,Dimitris RallisJagiellonia Białystok,50%
4,lukas-reiff-lerager,widzew-lodz,Lukas Reiff LeragerWidzew Łódź,50%
4,bryan-benjamin-solhaug-fiabema,lech-poznan,Bryan Benjamin Solhaug FiabemaLech Poznań,50%
4,luka-zahovic,gornik-zabrze,Luka ZahovićGórnik Zabrze,50%
10,eman-markovic,gks-katowice,Eman MarkovićGKS Katowice,44%
11,antonio-mirko-colak,legia-warszawa,Antonio-Mirko ČolakLegia Warszawa,43%
12,gabriel-andre-joseph-charpentier,cracovia,Gabriel André Joseph CharpentierCracovia,40%
12,lukas-rafael-klemenz,gks-katowice,Lukas Rafael KlemenzGKS Katowice,40%
14,kahveh-zahiroleslam,cracovia,Kahveh ZahiroleslamCracovia,38%
15,rafa-janicki,gornik-zabrze,Rafał JanickiGórnik Zabrze,36%
15,roberto-emanuel-oliveira-alves,radomiak-radom,Roberto Emanuel Oliveira AlvesRadomiak Radom,36%
15,lukas-sadilek,gornik-zabrze,Lukáš SadílekGórnik Zabrze,36%
18,sebastian-bergier,widzew-lodz,Sebastian BergierWidzew Łódź,34%
19,pawe-piotr-bochniewicz,gornik-zabrze,Paweł Piotr BochniewiczGórnik Zabrze,33%
19,daniel-noel-mikael-hakans,lech-poznan,Daniel Noel Mikael HåkansLech Poznań,33%
19,mohamed-awad-alla-hassan-ibrahim,lechia-gdansk,Mohamed Awad AllaLechia Gdańsk,33%
19,kacper-karasek,motor-lublin,Kacper KarasekMotor Lublin,33%
19,yuki-kobayashi,jagiellonia-bialystok,Yuki KobayashiJagiellonia Białystok,33%
19,efthymios-koulouris,pogon-szczecin,Efthymios KoulourisPogoń Szczecin,33%
