pozycja,player_slug,klub_slug,nazwa,wartosc
1,xavier-dziekonski,korona-kielce,Xavier DziekońskiKorona Kielce,3060
1,filip-majchrowicz,radomiak-radom,Filip MajchrowiczRadomiak Radom,3060
3,bartosz-nowak,gks-katowice,Bartosz NowakGKS Katowice,3006
4,marcin-kaminski,wisla-plock,Marcin KamińskiWisła Płock,3004
5,gustav-marcus-haglind-sangre,wisla-plock,Gustav Marcus Haglind-SangréWisła Płock,2970
5,arkadiusz-jedrych,gks-katowice,Arkadiusz JędrychGKS Katowice,2970
5,rafa-leszczynski,wisla-plock,Rafał LeszczyńskiWisła Płock,2970
5,bartosz-mrozek,lech-poznan,Bartosz MrozekLech Poznań,2970
9,micha-piotr-marcjanik,arka-gdynia,Michał Piotr MarcjanikArka Gdynia,2944
10,marcel-ubik,gornik-zabrze,Marcel ŁubikGórnik Zabrze,2937
10,marcin-wasielewski,gks-katowice,Marcin WasielewskiGKS Katowice,2937
12,jan-grzesik,radomiak-radom,Jan GrzesikRadomiak Radom,2923
13,tamar-svetlin,korona-kielce,Tamar SvetlinKorona Kielce,2889
14,patryk-dziczek,piast-gliwice,Patryk DziczekPiast Gliwice,2880
15,bartosz-wolski,motor-lublin,Bartosz WolskiMotor Lublin,2868
16,patrik-hellebrand,gornik-zabrze,Patrik HellebrandGórnik Zabrze,2865
17,rafa-janicki,gornik-zabrze,Rafał JanickiGórnik Zabrze,2784
18,valentin-alexandru-cojocaru,pogon-szczecin,Valentin Alexandru CojocaruPogoń Szczecin,2775
19,rifet-kapic,lechia-gdansk,Rifet KapičLechia Gdańsk,2774
20,matus-vojtko,lechia-gdansk,Matúš VojtkoLechia Gdańsk,2767
21,maciej-ambrosiewicz,nieciecza,Maciej AmbrosiewiczNieciecza,2764
22,oskar-wojcik,cracovia,Oskar WójcikCracovia,2752
23,fredrik-stense-ulvestad,pogon-szczecin,Fredrik Stensøe UlvestadPogoń Szczecin,2719
24,erik-janza,gornik-zabrze,Erik JanžaGórnik Zabrze,2706
25,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,2701
26,sawomir-abramowicz,jagiellonia-bialystok,Sławomir AbramowiczJagiellonia Białystok,2700
26,sebastian-madejski,cracovia,Sebastian MadejskiCracovia,2700
28,ivan-zhelizko,lechia-gdansk,Ivan ZhelizkoLechia Gdańsk,2697
29,juljan-shehu,widzew-lodz,Juljan ShehuWidzew Łódź,2670
30,micha-jan-nalepa,zagebie-lubin,Michał Jan NalepaKGHM Zagłębie Lubin,2660
31,jose-manuel-sanchez-guillen,gornik-zabrze,JosemaGórnik Zabrze,2658
32,filip-luberecki,motor-lublin,Filip LubereckiMotor Lublin,2619
33,wiktor-nowak,wisla-plock,Wiktor NowakWisła Płock,2603
34,sebastian-kerk,arka-gdynia,Sebastian KerkArka Gdynia,2587
35,karol-czubak,motor-lublin,Karol CzubakMotor Lublin,2560
36,bogdan-racovitan,rakow-czestochowa,Bogdan RacovițanRaków Częstochowa,2547
37,antoni-kozubal,lech-poznan,Antoni KozubalLech Poznań,2541
38,filip-kocaba,zagebie-lubin,Filip KocabaKGHM Zagłębie Lubin,2539
39,gustav-niklas-henriksson,cracovia,Gustav Niklas HenrikssonCracovia,2537
40,kamil-jakubczyk,arka-gdynia,Kamil JakubczykArka Gdynia,2527
41,adrian-dieguez-grande,radomiak-radom,Adrián Diéguez GrandeRadomiak Radom,2511
42,amir-fouad-aboud-al-ammari,cracovia,Amir Al AmmariCracovia,2505
43,dominik-kun,wisla-plock,Dominik KunWisła Płock,2467
44,tomas-bobcek,lechia-gdansk,Tomáš BobčekLechia Gdańsk,2464
45,konstantinos-sotiriou,korona-kielce,Konstantinos SotiriouKorona Kielce,2463
46,jonatan-braut-brunes,rakow-czestochowa,Jonatan Braut BrunesRaków Częstochowa,2462
47,gabriel-isik,nieciecza,Gabriel IsikNieciecza,2455
48,ivo-tiago-dos-santos-rodrigues,motor-lublin,Ivo RodriguesMotor Lublin,2452
49,micha-gurgul,lech-poznan,Michał GurgulLech Poznań,2448
50,martin-christophe-jannick-remacle,korona-kielce,Martin Christophe Jannick RemacleKorona Kielce,2441
51,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,2436
52,damian-weglarz,arka-gdynia,Damian WęglarzArka Gdynia,2430
53,igor-drapinski,piast-gliwice,Igor DrapińskiPiast Gliwice,2422
54,norbert-wojtuszek,jagiellonia-bialystok,Norbert WojtuszekJagiellonia Białystok,2414
55,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,2390
56,marcel-pieczek,korona-kielce,Marcel PięczekKorona Kielce,2386
56,juan-de-dios-rivas-margalef,piast-gliwice,Juande RivasPiast Gliwice,2386
58,ivan-brkic,motor-lublin,Ivan BrkićMotor Lublin,2363
59,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,2359
60,efstratios-svarnas,rakow-czestochowa,Efstratios SvarnasRaków Częstochowa,2358
61,damian-hilbrycht,nieciecza,Damian HilbrychtNieciecza,2354
62,sondre-liseth,gornik-zabrze,Sondre LisethGórnik Zabrze,2352
63,joel-vieira-pereira,lech-poznan,Joel PereiraLech Poznań,2351
64,steve-kingue,radomiak-radom,Steve KingueRadomiak Radom,2346
65,steve-nkanu-kapuadi,legia-warszawa,Steve Nkanu KapuadiLegia Warszawa,2310
66,alan-czerwinski,gks-katowice,Alan CzerwińskiGKS Katowice,2306
67,matej-rodin,lechia-gdansk,Matej RodinLechia Gdańsk,2295
68,sebastian-bergier,widzew-lodz,Sebastian BergierWidzew Łódź,2290
69,mileta-rajovic,legia-warszawa,Mileta RajovićLegia Warszawa,2284
70,arkadiusz-kasperkiewicz,nieciecza,Arkadiusz KasperkiewiczNieciecza,2278
71,borja-galan-gonzalez,gks-katowice,Borja Galán GonzálezGKS Katowice,2268
72,zie-mohamed-ouattara,radomiak-radom,Zié Mohamed OuattaraRadomiak Radom,2266
73,oskar-repka,rakow-czestochowa,Oskar RepkaRaków Częstochowa,2265
74,bartomiej-wdowik,jagiellonia-bialystok,Bartłomiej WdowikJagiellonia Białystok,2260
75,kamil-dawid-piatkowski,legia-warszawa,Kamil Dawid PiątkowskiLegia Warszawa,2256
75,zan-rogelj,wisla-plock,Žan RogeljWisła Płock,2256
77,lukas-rafael-klemenz,gks-katowice,Lukas Rafael KlemenzGKS Katowice,2241
78,grzegorz-tomasiewicz,piast-gliwice,Grzegorz TomasiewiczPiast Gliwice,2224
79,maurides-roque-junior,radomiak-radom,MauridesRadomiak Radom,2213
80,bernardo-maria-morais-cardoso-vital,jagiellonia-bialystok,Bernardo VitalJagiellonia Białystok,2211
81,mateusz-kowalczyk,gks-katowice,Mateusz KowalczykGKS Katowice,2196
82,daniel-pacheco-lobato,wisla-plock,Dani PachecoWisła Płock,2195
82,bosko-sutalo,cracovia,Boško ŠutaloCracovia,2195
84,rafa-wolski,radomiak-radom,Rafał WolskiRadomiak Radom,2194
85,jarosaw-kubicki,gornik-zabrze,Jarosław KubickiGórnik Zabrze,2190
85,mauro-perkovic,cracovia,Mauro PerkovićCracovia,2190
87,erik-jirka,piast-gliwice,Erik JirkaPiast Gliwice,2186
88,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,2184
