pozycja,player_slug,klub_slug,nazwa,wartosc
1,patrik-hellebrand,gornik-zabrze,Patrik HellebrandGórnik Zabrze,2033
2,efstratios-svarnas,rakow-czestochowa,Efstratios SvarnasRaków Częstochowa,1570
3,bernardo-maria-morais-cardoso-vital,jagiellonia-bialystok,Bernardo VitalJagiellonia Białystok,1509
4,marcin-kaminski,wisla-plock,Marcin KamińskiWisła Płock,1500
5,patryk-dziczek,piast-gliwice,Patryk DziczekPiast Gliwice,1497
6,micha-gurgul,lech-poznan,Michał GurgulLech Poznań,1457
7,antonio-milic,lech-poznan,Antonio MilićLech Poznań,1434
8,bogdan-racovitan,rakow-czestochowa,Bogdan RacovițanRaków Częstochowa,1427
9,rifet-kapic,lechia-gdansk,Rifet KapičLechia Gdańsk,1414
10,herve-jean-matthys,motor-lublin,Hervé Jean MatthysMotor Lublin,1386
11,norbert-wojtuszek,jagiellonia-bialystok,Norbert WojtuszekJagiellonia Białystok,1360
12,antoni-kozubal,lech-poznan,Antoni KozubalLech Poznań,1351
13,rafa-janicki,gornik-zabrze,Rafał JanickiGórnik Zabrze,1349
13,oskar-wojcik,cracovia,Oskar WójcikCracovia,1349
15,arkadiusz-jedrych,gks-katowice,Arkadiusz JędrychGKS Katowice,1343
16,adrian-dieguez-grande,radomiak-radom,Adrián Diéguez GrandeRadomiak Radom,1290
17,tamar-svetlin,korona-kielce,Tamar SvetlinKorona Kielce,1277
18,ivan-zhelizko,lechia-gdansk,Ivan ZhelizkoLechia Gdańsk,1235
19,jose-manuel-sanchez-guillen,gornik-zabrze,JosemaGórnik Zabrze,1201
20,mateusz-skrzypczak,lech-poznan,Mateusz SkrzypczakLech Poznań,1199
21,mateusz-andrzej-klich,cracovia,Mateusz Andrzej KlichCracovia,1185
22,micha-piotr-marcjanik,arka-gdynia,Michał Piotr MarcjanikArka Gdynia,1180
23,igor-drapinski,piast-gliwice,Igor DrapińskiPiast Gliwice,1160
24,erik-janza,gornik-zabrze,Erik JanžaGórnik Zabrze,1159
24,joel-vieira-pereira,lech-poznan,Joel PereiraLech Poznań,1159
26,bartomiej-wdowik,jagiellonia-bialystok,Bartłomiej WdowikJagiellonia Białystok,1151
27,maciej-ambrosiewicz,nieciecza,Maciej AmbrosiewiczNieciecza,1121
28,gustav-marcus-haglind-sangre,wisla-plock,Gustav Marcus Haglind-SangréWisła Płock,1101
29,juljan-shehu,widzew-lodz,Juljan ShehuWidzew Łódź,1093
30,fredrik-stense-ulvestad,pogon-szczecin,Fredrik Stensøe UlvestadPogoń Szczecin,1091
31,wojciech-monka,lech-poznan,Wojciech MońkaLech Poznań,1080
32,gustav-niklas-henriksson,cracovia,Gustav Niklas HenrikssonCracovia,1073
33,daniel-pacheco-lobato,wisla-plock,Dani PachecoWisła Płock,1067
34,amir-fouad-aboud-al-ammari,cracovia,Amir Al AmmariCracovia,1063
35,grzegorz-tomasiewicz,piast-gliwice,Grzegorz TomasiewiczPiast Gliwice,1053
36,dimitris-keramitsis,pogon-szczecin,Dimitris KeramitsisPogoń Szczecin,1050
37,juan-de-dios-rivas-margalef,piast-gliwice,Juande RivasPiast Gliwice,1045
38,taras-romanczuk,jagiellonia-bialystok,Taras RomanczukJagiellonia Białystok,1038
39,matej-rodin,lechia-gdansk,Matej RodinLechia Gdańsk,1037
40,filip-luberecki,motor-lublin,Filip LubereckiMotor Lublin,1020
41,fran-tudor,rakow-czestochowa,Fran TudorRaków Częstochowa,1010
42,gabriel-isik,nieciecza,Gabriel IsikNieciecza,1007
43,steve-nkanu-kapuadi,legia-warszawa,Steve Nkanu KapuadiLegia Warszawa,997
44,konstantinos-sotiriou,korona-kielce,Konstantinos SotiriouKorona Kielce,993
45,arkadiusz-kasperkiewicz,nieciecza,Arkadiusz KasperkiewiczNieciecza,986
46,kamil-dawid-piatkowski,legia-warszawa,Kamil Dawid PiątkowskiLegia Warszawa,984
47,zie-mohamed-ouattara,radomiak-radom,Zié Mohamed OuattaraRadomiak Radom,973
48,juergen-farid-elitim-sepulveda,legia-warszawa,Juergen Farid Elitim SepúlvedaLegia Warszawa,970
49,oskar-repka,rakow-czestochowa,Oskar RepkaRaków Częstochowa,969
50,ricardo-visus-contreras,widzew-lodz,Ricardo Visus ContrerasWidzew Łódź,962
51,marek-kristian-bartos,motor-lublin,Marek Kristián BartošMotor Lublin,943
52,bosko-sutalo,cracovia,Boško ŠutaloCracovia,941
53,bartosz-wolski,motor-lublin,Bartosz WolskiMotor Lublin,935
54,sergi-samper-montana,motor-lublin,Sergi Samper MontañaMotor Lublin,919
55,martin-christophe-jannick-remacle,korona-kielce,Martin Christophe Jannick RemacleKorona Kielce,918
56,emmanuel-kapo-twumasi,piast-gliwice,Emmanuel Kapo TwumasiPiast Gliwice,917
57,steve-kingue,radomiak-radom,Steve KingueRadomiak Radom,904
58,alan-czerwinski,gks-katowice,Alan CzerwińskiGKS Katowice,892
59,maksym-diachuk,lechia-gdansk,Maksym DiachukLechia Gdańsk,889
60,andy-joseph-pelmard,jagiellonia-bialystok,Andy Joseph PelmardJagiellonia Białystok,881
61,jan-grzesik,radomiak-radom,Jan GrzesikRadomiak Radom,852
62,radovan-pankov,legia-warszawa,Radovan PankovLegia Warszawa,847
63,jakub-czerwinski,piast-gliwice,Jakub CzerwińskiPiast Gliwice,845
64,rafa-sylwester-augustyniak,legia-warszawa,Rafał Sylwester AugustyniakLegia Warszawa,843
65,mateusz-zyro,widzew-lodz,Mateusz ŻyroWidzew Łódź,838
66,pau-resta-tell,korona-kielce,Pau Resta TellKorona Kielce,835
67,damian-dawid-szymanski,legia-warszawa,Damian Dawid SzymańskiLegia Warszawa,829
68,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,826
69,filip-wojciech-jagieo,lech-poznan,Filip Wojciech JagiełłoLech Poznań,821
70,marcin-wasielewski,gks-katowice,Marcin WasielewskiGKS Katowice,817
71,ivo-tiago-dos-santos-rodrigues,motor-lublin,Ivo RodriguesMotor Lublin,813
72,matus-vojtko,lechia-gdansk,Matúš VojtkoLechia Gdańsk,810
73,lukas-rafael-klemenz,gks-katowice,Lukas Rafael KlemenzGKS Katowice,806
74,dusan-stojinovic,jagiellonia-bialystok,Dušan StojinovićJagiellonia Białystok,797
75,rafa-leszczynski,wisla-plock,Rafał LeszczyńskiWisła Płock,792
76,jakub-lewicki,piast-gliwice,Jakub LewickiPiast Gliwice,783
77,marcel-pieczek,korona-kielce,Marcel PięczekKorona Kielce,765
78,marko-bulat,rakow-czestochowa,Marko BulatRaków Częstochowa,754
79,jarosaw-kubicki,gornik-zabrze,Jarosław KubickiGórnik Zabrze,749
80,frantisek-plach,piast-gliwice,František PlachPiast Gliwice,747
81,bartosz-mrozek,lech-poznan,Bartosz MrozekLech Poznań,740
82,kamil-jakubczyk,arka-gdynia,Kamil JakubczykArka Gdynia,738
83,micha-piotr-marcjanik-1,arka-gdynia,Michał Piotr MarcjanikArka Gdynia,736
