pozycja,player_slug,klub_slug,nazwa,wartosc
1,patrik-hellebrand,gornik-zabrze,Patrik HellebrandGórnik Zabrze,66
2,filip-luberecki,motor-lublin,Filip LubereckiMotor Lublin,64
3,norbert-wojtuszek,jagiellonia-bialystok,Norbert WojtuszekJagiellonia Białystok,56
4,juljan-shehu,widzew-lodz,Juljan ShehuWidzew Łódź,47
5,marcin-wasielewski,gks-katowice,Marcin WasielewskiGKS Katowice,43
6,mateusz-kowalczyk,gks-katowice,Mateusz KowalczykGKS Katowice,41
7,antoni-kozubal,lech-poznan,Antoni KozubalLech Poznań,39
8,joel-vieira-pereira,lech-poznan,Joel PereiraLech Poznań,37
9,dion-gallapeni,widzew-lodz,Dion GallapeniWidzew Łódź,36
10,ivan-zhelizko,lechia-gdansk,Ivan ZhelizkoLechia Gdańsk,35
11,gustav-marcus-haglind-sangre,wisla-plock,Gustav Marcus Haglind-SangréWisła Płock,34
11,pawe-stolarski,motor-lublin,Paweł StolarskiMotor Lublin,34
13,zie-mohamed-ouattara,radomiak-radom,Zié Mohamed OuattaraRadomiak Radom,33
14,patryk-dziczek,piast-gliwice,Patryk DziczekPiast Gliwice,32
14,damian-hilbrycht,nieciecza,Damian HilbrychtNieciecza,32
14,rifet-kapic,lechia-gdansk,Rifet KapičLechia Gdańsk,32
14,zan-rogelj,wisla-plock,Žan RogeljWisła Płock,32
14,jose-manuel-sanchez-guillen,gornik-zabrze,JosemaGórnik Zabrze,32
14,martin-yankov-minchev,cracovia,Martin Yankov MinchevCracovia,32
20,leandro-mario-balde-sanca,piast-gliwice,Leandro SancaPiast Gliwice,31
20,jan-grzesik,radomiak-radom,Jan GrzesikRadomiak Radom,31
20,dawid-kocya,arka-gdynia,Dawid KocyłaArka Gdynia,31
20,matus-vojtko,lechia-gdansk,Matúš VojtkoLechia Gdańsk,31
24,leonardo-borges-da-silva,pogon-szczecin,Léo BorgesPogoń Szczecin,30
24,martin-christophe-jannick-remacle,korona-kielce,Martin Christophe Jannick RemacleKorona Kielce,30
24,fran-tudor,rakow-czestochowa,Fran TudorRaków Częstochowa,30
27,marc-navarro-ceciliano,arka-gdynia,Marc Navarro CecilianoArka Gdynia,29
27,mauro-perkovic,cracovia,Mauro PerkovićCracovia,29
27,efstratios-svarnas,rakow-czestochowa,Efstratios SvarnasRaków Częstochowa,29
30,josip-corluka,zagebie-lubin,Josip ĆorlukaKGHM Zagłębie Lubin,28
30,arkadiusz-kasperkiewicz,nieciecza,Arkadiusz KasperkiewiczNieciecza,28
30,bartomiej-kudka,lechia-gdansk,Bartłomiej KłudkaLechia Gdańsk,28
30,ermal-krasniqi,legia-warszawa,Ermal KrasniqiLegia Warszawa,28
30,jakub-lewicki,piast-gliwice,Jakub LewickiPiast Gliwice,28
30,kamil-dawid-piatkowski,legia-warszawa,Kamil Dawid PiątkowskiLegia Warszawa,28
30,marcel-wojciech-regua,zagebie-lubin,Marcel Wojciech RegułaKGHM Zagłębie Lubin,28
