pozycja,player_slug,klub_slug,nazwa,wartosc
1,tomas-bobcek,lechia-gdansk,Tomáš BobčekLechia Gdańsk,19.8
2,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,16.6
3,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,14.9
4,jonatan-braut-brunes,rakow-czestochowa,Jonatan Braut BrunesRaków Częstochowa,14.4
5,karol-czubak,motor-lublin,Karol CzubakMotor Lublin,13.6
6,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,12.4
7,mileta-rajovic,legia-warszawa,Mileta RajovićLegia Warszawa,12.3
8,sebastian-bergier,widzew-lodz,Sebastian BergierWidzew Łódź,9.5
9,ukasz-sekulski,wisla-plock,Łukasz SekulskiWisła Płock,9.1
10,german-barkovskiy,piast-gliwice,German BarkovskiyPiast Gliwice,9.0
11,filip-stojilkovic,cracovia,Filip StojilkovićCracovia,8.2
12,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,8.0
13,jesus-jimenez-nunez,nieciecza,Jesús Jiménez NúñezNieciecza,7.9
14,antonio-cortes-heredia,korona-kielce,Antoñín CortésKorona Kielce,7.9
15,mohamed-lamine-diaby-fadiga,rakow-czestochowa,Mohamed Lamine Diaby-FadigaRaków Częstochowa,7.7
16,sondre-liseth,gornik-zabrze,Sondre LisethGórnik Zabrze,7.4
17,bartosz-nowak,gks-katowice,Bartosz NowakGKS Katowice,7.4
18,kamil-zapolnik,nieciecza,Kamil ZapolnikNieciecza,7.1
19,maurides-roque-junior,radomiak-radom,MauridesRadomiak Radom,7.0
20,osvaldo-pedro-capemba,radomiak-radom,CapitaRadomiak Radom,6.5
21,fredrik-stense-ulvestad,pogon-szczecin,Fredrik Stensøe UlvestadPogoń Szczecin,6.4
22,dawid-banik,korona-kielce,Dawid BłanikKorona Kielce,6.3
23,patryk-dziczek,piast-gliwice,Patryk DziczekPiast Gliwice,6.2
24,jarosaw-kubicki,gornik-zabrze,Jarosław KubickiGórnik Zabrze,6.2
25,paul-omo-mukairu,pogon-szczecin,Paul Omo MukairuPogoń Szczecin,6.2
26,mariusz-pawe-stepinski,korona-kielce,Mariusz Paweł StępińskiKorona Kielce,6.1
27,luis-enrique-palma-oseguera,lech-poznan,Luis Enrique Palma OsegueraLech Poznań,6.0
28,erik-martin-leo-bengtsson,lech-poznan,Erik Martin Leo BengtssonLech Poznań,6.0
29,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,5.6
30,ousmane-sow,gornik-zabrze,Ousmane SowGórnik Zabrze,5.5
31,jens-patrik-walemark,lech-poznan,Jens Patrik WålemarkLech Poznań,5.5
32,martin-christophe-jannick-remacle,korona-kielce,Martin Christophe Jannick RemacleKorona Kielce,5.5
33,mbaye-jacques-ndiaye,motor-lublin,Mbaye Jacques N'DiayeMotor Lublin,5.4
34,ajdin-hasic,cracovia,Ajdin HasićCracovia,5.2
35,ali-gholizadeh-nojedeh,lech-poznan,Ali Gholizadeh NojedehLech Poznań,5
36,abdoul-fessal-tapsoba,radomiak-radom,Abdoul Fessal TapsobaRadomiak Radom,5.0
37,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,4.9
38,michalis-kosidis,zagebie-lubin,Michalis KosidisKGHM Zagłębie Lubin,4.9
39,leonardo-miramar-rocha,zagebie-lubin,Leonardo RochaKGHM Zagłębie Lubin,4.9
40,jorge-felix-munoz-garcia,piast-gliwice,Jorge Félix Muñoz GarcíaPiast Gliwice,4.8
41,arkadiusz-jedrych,gks-katowice,Arkadiusz JędrychGKS Katowice,4.8
42,deni-juric,wisla-plock,Deni JuricWisła Płock,4.7
43,konstantinos-sotiriou,korona-kielce,Konstantinos SotiriouKorona Kielce,4.7
44,marcel-wojciech-regua,zagebie-lubin,Marcel Wojciech RegułaKGHM Zagłębie Lubin,4.7
