pozycja,player_slug,klub_slug,nazwa,wartosc
1,martin-christophe-jannick-remacle,korona-kielce,Martin Christophe Jannick RemacleKorona Kielce,33
2,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,29
3,lukas-ambros,gornik-zabrze,Lukáš AmbrosGórnik Zabrze,24
3,bartosz-kapustka,legia-warszawa,Bartosz KapustkaLegia Warszawa,24
5,mariusz-fornalczyk,widzew-lodz,Mariusz FornalczykWidzew Łódź,23
5,bartosz-nowak,gks-katowice,Bartosz NowakGKS Katowice,23
7,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,22
7,ivan-zhelizko,lechia-gdansk,Ivan ZhelizkoLechia Gdańsk,22
9,tomas-bobcek,lechia-gdansk,Tomáš BobčekLechia Gdańsk,21
9,patryk-dziczek,piast-gliwice,Patryk DziczekPiast Gliwice,21
9,patrik-hellebrand,gornik-zabrze,Patrik HellebrandGórnik Zabrze,21
12,leandro-mario-balde-sanca,piast-gliwice,Leandro SancaPiast Gliwice,20
12,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,20
14,vahan-bichakhchyan,legia-warszawa,Vahan BichakhchyanLegia Warszawa,19
14,karol-czubak,motor-lublin,Karol CzubakMotor Lublin,19
14,ivo-tiago-dos-santos-rodrigues,motor-lublin,Ivo RodriguesMotor Lublin,19
14,antoni-kozubal,lech-poznan,Antoni KozubalLech Poznań,19
18,mohamed-lamine-diaby-fadiga,rakow-czestochowa,Mohamed Lamine Diaby-FadigaRaków Częstochowa,18
18,ajdin-hasic,cracovia,Ajdin HasićCracovia,18
18,luis-enrique-palma-oseguera,lech-poznan,Luis Enrique Palma OsegueraLech Poznań,18
18,juljan-shehu,widzew-lodz,Juljan ShehuWidzew Łódź,18
18,rafa-wolski,radomiak-radom,Rafał WolskiRadomiak Radom,18
23,dawid-banik,korona-kielce,Dawid BłanikKorona Kielce,17
23,wiktor-dugosz,korona-kielce,Wiktor DługoszKorona Kielce,17
23,wiktor-nowak,wisla-plock,Wiktor NowakWisła Płock,17
23,kajetan-szmyt,zagebie-lubin,Kajetan SzmytKGHM Zagłębie Lubin,17
23,marcin-wasielewski,gks-katowice,Marcin WasielewskiGKS Katowice,17
28,erik-martin-leo-bengtsson,lech-poznan,Erik Martin Leo BengtssonLech Poznań,16
28,filip-wojciech-jagieo,lech-poznan,Filip Wojciech JagiełłoLech Poznań,16
28,sondre-liseth,gornik-zabrze,Sondre LisethGórnik Zabrze,16
28,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,16
28,mileta-rajovic,legia-warszawa,Mileta RajovićLegia Warszawa,16
28,oskar-repka,rakow-czestochowa,Oskar RepkaRaków Częstochowa,16
28,mariusz-pawe-stepinski,korona-kielce,Mariusz Paweł StępińskiKorona Kielce,16
28,filip-stojilkovic,cracovia,Filip StojilkovićCracovia,16
36,taofeek-ajibade-ismaheel,gornik-zabrze,Taofeek Ajibade IsmaheelGórnik Zabrze,15
36,morgan-kwasi-fabender,nieciecza,Morgan Kwasi FaßbenderNieciecza,15
36,vasco-rafael-fortes-lopes,radomiak-radom,Vasco LopesRadomiak Radom,15
36,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,15
36,erik-jirka,piast-gliwice,Erik JirkaPiast Gliwice,15
36,pablo-rodriguez-delgado,lech-poznan,Pablo Rodríguez DelgadoLech Poznań,15
36,pau-sans-lopez,cracovia,Pau Sans LópezCracovia,15
43,german-barkovskiy,piast-gliwice,German BarkovskiyPiast Gliwice,14
43,jonatan-braut-brunes,rakow-czestochowa,Jonatan Braut BrunesRaków Częstochowa,14
43,antonio-cortes-heredia,korona-kielce,Antoñín CortésKorona Kielce,14
43,stjepan-davidovic,korona-kielce,Stjepan DavidovićKorona Kielce,14
43,ali-gholizadeh-nojedeh,lech-poznan,Ali Gholizadeh NojedehLech Poznań,14
43,maksym-khlan,gornik-zabrze,Maksym KhlanGórnik Zabrze,14
43,maurides-roque-junior,radomiak-radom,MauridesRadomiak Radom,14
