pozycja,klub_slug,nazwa,wartosc
1,lks-lodz,ŁKS Łódź,63.7
2,radomiak-radom,Radomiak Radom,52.3
3,ruch-chorzow,Ruch Chorzów,51.1
4,stal-mielec,Stal Mielec,49.9
5,puszcza-niepolomice,Puszcza Niepołomice,48.4
6,widzew-lodz,Widzew Łódź,45.8
7,zagebie-lubin,KGHM Zagłębie Lubin,45.5
8,lech-poznan,Lech Poznań,44.3
9,cracovia,Cracovia,43.7
10,gornik-zabrze,Górnik Zabrze,42.4
11,jagiellonia-bialystok,Jagiellonia Białystok,40.7
12,warta-poznan,Warta Poznań,39.8
13,pogon-szczecin,Pogoń Szczecin,38.4
14,slask-wroclaw,Śląsk Wrocław,38.0
15,korona-kielce,Korona Kielce,37.5
16,rakow-czestochowa,Raków Częstochowa,33.8
17,legia-warszawa,Legia Warszawa,33.4
18,piast-gliwice,Piast Gliwice,30.1
