pozycja,klub_slug,nazwa,wartosc
1,lech-poznan,Lech Poznań,64.4
2,lechia-gdansk,Lechia Gdańsk,59.2
3,rakow-czestochowa,Raków Częstochowa,55.0
4,pogon-szczecin,Pogoń Szczecin,53.4
5,korona-kielce,Korona Kielce,52.1
6,jagiellonia-bialystok,Jagiellonia Białystok,50.8
7,gornik-zabrze,Górnik Zabrze,49.8
8,legia-warszawa,Legia Warszawa,48.5
9,piast-gliwice,Piast Gliwice,47.8
10,gks-katowice,GKS Katowice,45.6
11,radomiak-radom,Radomiak Radom,44.8
12,nieciecza,Nieciecza,44.2
13,cracovia,Cracovia,44.0
14,wisla-plock,Wisła Płock,42.6
15,widzew-lodz,Widzew Łódź,41.0
16,zagebie-lubin,KGHM Zagłębie Lubin,39.5
