xg_gosp,xg_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,rozne_gosp,rozne_gosc,podania_gosp,podania_gosc,zk_gosp,zk_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,spalone_gosp,spalone_gosc,rzuty_wolne_gosp,rzuty_wolne_gosc,faule_gosp,faule_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,zapobiegniecia_gosc,bledy_strzal_gosc,bledy_gol_gosc,bledy_gol_gosp,zapobiegniecia_gosp,czk_gosc,czk_gosp,bledy_strzal_gosp,data_meczu_flash,kolejka_flash,url,flash_id,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc
1.48,1.05,54,46,14,14,6,2,6,6,357,271,3,3,8,12,0,1,19,8,8,18,2,3,0,0,0,0,0,0,0,0,2024-05-25,34,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=phWZm4I5,phWZm4I5,,
0.82,2.03,55,45,8,23,3,12,5,13,299,207,6,7,5,11,1,4,1,1,13,15,10,2,0,0,0,0,0,0,1,0,2024-05-25,34,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=vFVwmOXB,vFVwmOXB,,
2.18,0.66,46,54,16,10,7,3,5,5,356,427,2,3,9,7,3,1,18,17,15,16,2,5,0,0,0,0,0,0,0,0,2024-05-25,34,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=I5UsnrmI,I5UsnrmI,,
0.73,2.42,50,50,13,15,4,5,3,5,438,347,2,1,9,10,3,0,12,14,13,12,3,1,0,0,0,0,0,1,0,0,2024-05-25,34,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=zcT023Xb,zcT023Xb,,
2.11,0.28,48,52,22,9,5,2,9,5,387,374,4,4,17,7,2,2,9,7,12,7,2,4,0,0,0,0,0,0,0,0,2024-05-25,34,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=pS0vo22O,pS0vo22O,,
0.91,1.24,33,67,8,17,1,6,3,6,191,465,3,2,7,11,0,1,8,21,20,5,6,0,0,0,0,0,0,0,0,0,2024-05-25,34,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/puszcza-dtqx13O8/szczegoly/statystyki/?mid=OIarpMHU,OIarpMHU,,
1.46,1.70,48,52,12,13,5,4,5,4,371,379,3,3,7,9,1,0,13,10,10,13,1,4,0,0,0,0,0,0,0,0,2024-05-25,34,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=0vyl55mt,0vyl55mt,,
1.64,1.22,51,49,11,9,2,3,4,4,201,180,4,1,9,6,2,3,12,4,14,14,1,1,0,0,0,0,0,0,0,0,2024-05-25,34,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=Esuh4P2n,Esuh4P2n,,
3.68,0.77,54,46,15,12,4,0,3,2,391,296,2,1,11,12,0,1,15,7,10,14,0,2,0,0,0,0,0,1,0,0,2024-05-25,34,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=d6Ud3qIh,d6Ud3qIh,,
2.37,0.84,52,48,25,13,10,7,8,0,427,393,2,4,15,6,0,1,19,8,9,18,6,8,0,0,0,0,0,0,1,0,2024-05-20,33,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=QB54YOII,QB54YOII,,
