xg_gosp,xg_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,wielkie_szanse_gosp,wielkie_szanse_gosc,rozne_gosp,rozne_gosc,podania_gosp,podania_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,xgot_gosp,xgot_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_pk_gosp,strzaly_pk_gosc,strzaly_spoza_pk_gosp,strzaly_spoza_pk_gosc,kontakty_pk_gosp,kontakty_pk_gosc,spalone_gosp,spalone_gosc,rzuty_wolne_gosp,rzuty_wolne_gosc,dlugie_podania_gosp,dlugie_podania_gosc,dosrodkowania_gosp,dosrodkowania_gosc,xa_gosp,xa_gosc,faule_gosp,faule_gosc,odbiory_gosp,odbiory_gosc,pojedynki_gosp,pojedynki_gosc,wybicia_gosp,wybicia_gosc,przechwyty_gosp,przechwyty_gosc,bledy_strzal_gosp,bledy_strzal_gosc,bledy_gol_gosp,bledy_gol_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,xgot_przeciw_gosp,xgot_przeciw_gosc,zapobiegniecia_gosp,zapobiegniecia_gosc,data_meczu_flash,kolejka_flash,url,flash_id
0.83,1.54,58,42,15,19,8,4,4,1,7,9,405,282,2,2,1,1,1.78,0.39,4,7,3,8,10,10,5,9,27,24,3,2,12,8,25,9,3,4,0.88,0.79,8,12,20,7,54,37,18,26,10,9,0,0,0,0,3,7,0.39,1.78,-0.61,0.78,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=jkLJ5dBs,jkLJ5dBs
0.70,1.20,64,36,17,8,6,2,0,2,9,4,354,157,2,4,0,0,1.37,0.79,6,4,5,2,12,6,5,2,35,22,4,3,15,14,41,27,4,5,0.87,0.75,14,15,9,10,42,53,24,39,10,5,1,1,0,0,1,5,0.79,1.37,-0.21,0.37,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=bFOR3ztf,bFOR3ztf
0.78,1.15,55,45,12,17,1,4,1,2,4,5,424,347,1,1,0,0,0.96,0.94,6,6,5,7,9,14,3,3,20,23,1,0,9,16,21,28,4,5,0.68,1.16,16,9,10,8,51,45,19,28,10,8,0,0,0,0,4,0,0.94,0.96,0.94,-0.04,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=6oBr0huJ,6oBr0huJ
2.05,1.62,46,54,16,16,5,9,3,2,5,5,322,399,3,0,0,0,1.85,2.34,8,5,3,2,13,9,3,6,31,27,0,1,8,6,20,33,9,6,1.32,1.71,6,8,9,8,44,33,24,24,8,6,0,0,0,1,6,3,2.34,1.85,0.34,-0.15,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/lechia-gdansk-GGLmkiK8/szczegoly/statystyki/?mid=MggVNeXP,MggVNeXP
2.60,1.07,52,48,19,10,8,3,2,1,12,2,361,340,1,3,0,0,2.42,1.94,7,3,4,4,16,4,3,6,36,13,4,2,8,12,31,25,7,2,2.78,0.45,12,8,8,14,50,36,16,29,10,7,0,1,0,0,1,6,1.94,2.42,-0.06,0.42,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=IPv1IZfm,IPv1IZfm
1.53,1.49,43,57,13,19,5,5,1,2,6,5,249,374,2,1,0,0,2.04,1.72,5,10,3,4,12,11,1,8,23,31,0,1,17,14,28,27,9,7,0.90,1.75,14,17,17,8,51,44,17,21,16,10,0,1,0,0,4,4,1.72,2.04,0.72,1.04,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=EiY9GDPa,EiY9GDPa
2.51,2.73,59,41,19,15,7,5,5,5,3,6,373,241,3,4,0,0,2.24,3.05,10,7,2,3,14,12,5,3,33,22,1,1,14,13,46,22,8,7,2.51,1.15,13,14,5,7,49,43,18,38,14,6,2,0,0,1,2,5,3.05,2.24,0.05,-0.66,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=KlyIEifC,KlyIEifC
3.29,0.48,49,51,18,6,8,2,7,1,8,7,338,329,5,3,1,0,3.23,0.95,7,2,3,2,14,5,4,1,29,17,4,0,12,12,22,17,6,5,0.91,0.65,12,12,9,15,67,45,16,14,10,6,0,0,0,1,1,6,0.95,3.23,-0.05,1.23,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=t4PQCVOO,t4PQCVOO
1.00,1.48,50,50,12,17,2,5,0,1,8,4,264,282,1,2,0,0,0.49,1.56,7,5,3,7,6,8,6,9,27,25,1,3,6,11,24,18,2,8,0.48,1.02,11,6,9,9,45,58,15,30,11,3,0,0,0,0,3,1,1.56,0.49,-0.44,-0.51,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=KUCz2EA6,KUCz2EA6
1.71,0.69,48,52,18,11,3,3,2,1,6,2,330,351,2,2,0,0,1.92,0.16,7,2,8,6,9,7,9,4,34,14,0,1,9,12,16,24,2,1,0.94,0.37,12,9,9,11,38,50,17,27,10,11,0,2,0,1,3,1,0.16,1.92,0.16,-0.08,2025-05-19,33,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=4fGa01Z1,4fGa01Z1
