xg_gosp,xg_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,wielkie_szanse_gosp,wielkie_szanse_gosc,rozne_gosp,rozne_gosc,podania_gosp,podania_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,xgot_gosp,xgot_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_pk_gosp,strzaly_pk_gosc,strzaly_spoza_pk_gosp,strzaly_spoza_pk_gosc,kontakty_pk_gosp,kontakty_pk_gosc,spalone_gosp,spalone_gosc,rzuty_wolne_gosp,rzuty_wolne_gosc,dlugie_podania_gosp,dlugie_podania_gosc,dosrodkowania_gosp,dosrodkowania_gosc,xa_gosp,xa_gosc,faule_gosp,faule_gosc,odbiory_gosp,odbiory_gosc,pojedynki_gosp,pojedynki_gosc,wybicia_gosp,wybicia_gosc,przechwyty_gosp,przechwyty_gosc,bledy_strzal_gosp,bledy_strzal_gosc,bledy_gol_gosp,bledy_gol_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,xgot_przeciw_gosp,xgot_przeciw_gosc,zapobiegniecia_gosp,zapobiegniecia_gosc,data_meczu_flash,kolejka_flash,url,flash_id,gosp_nazwa,gosc_nazwa
0.83,1.54,58,42,15,19,8,4,4.0,1.0,7,9,405.0,282.0,2,2,1,1,1.78,0.39,4,7,3.0,8.0,10.0,10.0,5.0,9.0,27.0,24.0,3.0,2.0,12.0,8.0,25.0,9.0,3.0,4.0,0.88,0.79,8,12,20.0,7.0,54.0,37.0,18.0,26.0,10.0,9.0,0,0,0,0,3,7,0.39,1.78,-0.61,0.78,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=jkLJ5dBs,jkLJ5dBs,GOR 1-1 KOR | Górnik Zabrze,Korona Kielce
0.7,1.2,64,36,17,8,6,2,0.0,2.0,9,4,354.0,157.0,2,4,0,0,1.37,0.79,6,4,5.0,2.0,12.0,6.0,5.0,2.0,35.0,22.0,4.0,3.0,15.0,14.0,41.0,27.0,4.0,5.0,0.87,0.75,14,15,9.0,10.0,42.0,53.0,24.0,39.0,10.0,5.0,1,1,0,0,1,5,0.79,1.37,-0.21,0.37,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=bFOR3ztf,bFOR3ztf,JAG 1-1 POG | Jagiellonia Białystok,Pogoń Szczecin
0.78,1.15,55,45,12,17,1,4,1.0,2.0,4,5,424.0,347.0,1,1,0,0,0.96,0.94,6,6,5.0,7.0,9.0,14.0,3.0,3.0,20.0,23.0,1.0,0.0,9.0,16.0,21.0,28.0,4.0,5.0,0.68,1.16,16,9,10.0,8.0,51.0,45.0,19.0,28.0,10.0,8.0,0,0,0,0,4,0,0.94,0.96,0.94,-0.04,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=6oBr0huJ,6oBr0huJ,LEC 1-0 PIA | Lech Poznań,Piast Gliwice
2.05,1.62,46,54,16,16,5,9,3.0,2.0,5,5,322.0,399.0,3,0,0,0,1.85,2.34,8,5,3.0,2.0,13.0,9.0,3.0,6.0,31.0,27.0,0.0,1.0,8.0,6.0,20.0,33.0,9.0,6.0,1.32,1.71,6,8,9.0,8.0,44.0,33.0,24.0,24.0,8.0,6.0,0,0,0,1,6,3,2.34,1.85,0.34,-0.15,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/lechia-gdansk-GGLmkiK8/szczegoly/statystyki/?mid=MggVNeXP,MggVNeXP,GDA 2-3 KAT | Lechia Gdańsk,GKS Katowice
2.6,1.07,52,48,19,10,8,3,2.0,1.0,12,2,361.0,340.0,1,3,0,0,2.42,1.94,7,3,4.0,4.0,16.0,4.0,3.0,6.0,36.0,13.0,4.0,2.0,8.0,12.0,31.0,25.0,7.0,2.0,2.78,0.45,12,8,8.0,14.0,50.0,36.0,16.0,29.0,10.0,7.0,0,1,0,0,1,6,1.94,2.42,-0.06,0.42,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=IPv1IZfm,IPv1IZfm,LEG 2-2 STA | Legia Warszawa,Stal Mielec
1.53,1.49,43,57,13,19,5,5,1.0,2.0,6,5,249.0,374.0,2,1,0,0,2.04,1.72,5,10,3.0,4.0,12.0,11.0,1.0,8.0,23.0,31.0,0.0,1.0,17.0,14.0,28.0,27.0,9.0,7.0,0.9,1.75,14,17,17.0,8.0,51.0,44.0,17.0,21.0,16.0,10.0,0,1,0,0,4,4,1.72,2.04,0.72,1.04,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=EiY9GDPa,EiY9GDPa,PUS 1-1 SLA | Puszcza Niepołomice,Śląsk Wrocław
2.51,2.73,59,41,19,15,7,5,5.0,5.0,3,6,373.0,241.0,3,4,0,0,2.24,3.05,10,7,2.0,3.0,14.0,12.0,5.0,3.0,33.0,22.0,1.0,1.0,14.0,13.0,46.0,22.0,8.0,7.0,2.51,1.15,13,14,5.0,7.0,49.0,43.0,18.0,38.0,14.0,6.0,2,0,0,1,2,5,3.05,2.24,0.05,-0.66,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=KlyIEifC,KlyIEifC,RAD 2-3 MOT | Radomiak Radom,Motor Lublin
3.29,0.48,49,51,18,6,8,2,7.0,1.0,8,7,338.0,329.0,5,3,1,0,3.23,0.95,7,2,3.0,2.0,14.0,5.0,4.0,1.0,29.0,17.0,4.0,0.0,12.0,12.0,22.0,17.0,6.0,5.0,0.91,0.65,12,12,9.0,15.0,67.0,45.0,16.0,14.0,10.0,6.0,0,0,0,1,1,6,0.95,3.23,-0.05,1.23,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=t4PQCVOO,t4PQCVOO,RAK 2-1 WID | Raków Częstochowa,Widzew Łódź
1.0,1.48,50,50,12,17,2,5,0.0,1.0,8,4,264.0,282.0,1,2,0,0,0.49,1.56,7,5,3.0,7.0,6.0,8.0,6.0,9.0,27.0,25.0,1.0,3.0,6.0,11.0,24.0,18.0,2.0,8.0,0.48,1.02,11,6,9.0,9.0,45.0,58.0,15.0,30.0,11.0,3.0,0,0,0,0,3,1,1.56,0.49,-0.44,-0.51,2025-05-24,34,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=KUCz2EA6,KUCz2EA6,ZAG 1-2 CRA | Zagłębie Lubin,Cracovia
1.71,0.69,48,52,18,11,3,3,2.0,1.0,6,2,330.0,351.0,2,2,0,0,1.92,0.16,7,2,8.0,6.0,9.0,7.0,9.0,4.0,34.0,14.0,0.0,1.0,9.0,12.0,16.0,24.0,2.0,1.0,0.94,0.37,12,9,9.0,11.0,38.0,50.0,17.0,27.0,10.0,11.0,0,2,0,1,3,1,0.16,1.92,0.16,-0.08,2025-05-19,33,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=4fGa01Z1,4fGa01Z1,WID 2-0 PUS | Widzew Łódź,Puszcza Niepołomice
