flash_team,klub_slug_expected,flash_name
Cracovia,cracovia,Atanasov J.
Cracovia,cracovia,Bitri E.
Cracovia,cracovia,Bochnak M.
Cracovia,cracovia,Bzdyl F.
Cracovia,cracovia,Doba S.
Cracovia,cracovia,Dziewicki F.
Cracovia,cracovia,Ghita V.
Cracovia,cracovia,Glik K.
Cracovia,cracovia,Golonka K.
Cracovia,cracovia,Hoskonen A.
Cracovia,cracovia,Hrosso L.
Cracovia,cracovia,Hyla O.
Cracovia,cracovia,Jaroszynski P.
Cracovia,cracovia,Jodlowski K.
Cracovia,cracovia,Jugas J.
Cracovia,cracovia,Kakabadze O.
Cracovia,cracovia,Kallman B.
Cracovia,cracovia,Knap K.
Cracovia,cracovia,Kolec B.
Cracovia,cracovia,Lusiusz S.
Cracovia,cracovia,Madejski S.
Cracovia,cracovia,Maigaard M.
Cracovia,cracovia,Makuch P.
Cracovia,cracovia,Myszor J.
Cracovia,cracovia,Ogorzaly K.
Cracovia,cracovia,Olafsson D.
Cracovia,cracovia,Oshima T.
Cracovia,cracovia,Rakoczy M.
Cracovia,cracovia,Rapa C.
Cracovia,cracovia,Rózga F.
Cracovia,cracovia,Skovgaard A.
Cracovia,cracovia,Smiglewski K.
Cracovia,cracovia,Sokołowski P.
Cracovia,cracovia,Stachera M.
Cracovia,cracovia,Wilk A.
Cracovia,cracovia,Zaucha P.
Górnik Zabrze,gornik-zabrze,Barczak N.
Górnik Zabrze,gornik-zabrze,Bielica D.
Górnik Zabrze,gornik-zabrze,Chmarek M.
Górnik Zabrze,gornik-zabrze,Czyż S.
Górnik Zabrze,gornik-zabrze,Dadok R.
Górnik Zabrze,gornik-zabrze,Ennali L.
Górnik Zabrze,gornik-zabrze,Janicki R.
Górnik Zabrze,gornik-zabrze,Janza E.
Górnik Zabrze,gornik-zabrze,Jensen R.
Górnik Zabrze,gornik-zabrze,Kapralik A.
Górnik Zabrze,gornik-zabrze,Kolanko K.
Górnik Zabrze,gornik-zabrze,Kozuki S.
Górnik Zabrze,gornik-zabrze,Krawczyk P.
Górnik Zabrze,gornik-zabrze,Lukoszek K.
Górnik Zabrze,gornik-zabrze,Musiolik S.
Górnik Zabrze,gornik-zabrze,Nascimento F.
Górnik Zabrze,gornik-zabrze,Olkowski P.
Górnik Zabrze,gornik-zabrze,Pacheco D.
Górnik Zabrze,gornik-zabrze,Paluszek A.
Górnik Zabrze,gornik-zabrze,Pochciol J.
Górnik Zabrze,gornik-zabrze,Podolski L.
Górnik Zabrze,gornik-zabrze,Rasak D.
Górnik Zabrze,gornik-zabrze,Sekulic B.
Górnik Zabrze,gornik-zabrze,Siplak M.
Górnik Zabrze,gornik-zabrze,Szala D.
Górnik Zabrze,gornik-zabrze,Szcześniak K.
Górnik Zabrze,gornik-zabrze,Szromnik M.
Górnik Zabrze,gornik-zabrze,Tobolik A.
Górnik Zabrze,gornik-zabrze,Triantafyllopoulos K.
Górnik Zabrze,gornik-zabrze,Wojtuszek N.
Górnik Zabrze,gornik-zabrze,Yokota D.
Górnik Zabrze,gornik-zabrze,Zielonka N.
Jagiellonia Białystok,jagiellonia-bialystok,Abramowicz S.
Jagiellonia Białystok,jagiellonia-bialystok,Alomerovic Z.
Jagiellonia Białystok,jagiellonia-bialystok,Caliskaner K.
Jagiellonia Białystok,jagiellonia-bialystok,Dieguez A.
Jagiellonia Białystok,jagiellonia-bialystok,Haliti J.
Jagiellonia Białystok,jagiellonia-bialystok,Hansen K.
Jagiellonia Białystok,jagiellonia-bialystok,Jesús I. B.
Jagiellonia Białystok,jagiellonia-bialystok,Kubicki J.
Jagiellonia Białystok,jagiellonia-bialystok,Kupisz T.
Jagiellonia Białystok,jagiellonia-bialystok,Laski W.
Jagiellonia Białystok,jagiellonia-bialystok,Lewicki J.
Jagiellonia Białystok,jagiellonia-bialystok,Marczuk D.
Jagiellonia Białystok,jagiellonia-bialystok,Matheus Vinicius
Jagiellonia Białystok,jagiellonia-bialystok,Matysik M.
Jagiellonia Białystok,jagiellonia-bialystok,Naranjo J.
Jagiellonia Białystok,jagiellonia-bialystok,Nastic B.
Jagiellonia Białystok,jagiellonia-bialystok,Nene
Jagiellonia Białystok,jagiellonia-bialystok,Nguiamba A.
Jagiellonia Białystok,jagiellonia-bialystok,Olszewski P.
Jagiellonia Białystok,jagiellonia-bialystok,Pululu A.
