flash_team,expected_klub_slug,flash_name,candidate_player_slug,candidate_klub_slug,candidate_season,relation,score,reasons,candidate_nazwa
Cracovia,cracovia,Atanasov J.,jani-atanasov,cracovia,2025/26,future_season_same_club,109,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:atanasov | token_overlap_slug:atanasov | sim>=0.92:1.000 | initial_match | same_club_bonus,Jani AtanasovCracovia
Cracovia,cracovia,Atanasov J.,jani-atanasov,cracovia,2023/24,same_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:atanasov | token_overlap_slug:atanasov | sim>=0.92:1.000 | initial_match | same_club_bonus,Jani AtanasovCracovia
Cracovia,cracovia,Bitri E.,eneo-bitri,cracovia,2023/24,same_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:bitri | token_overlap_slug:bitri | sim>=0.92:1.000 | initial_match | same_club_bonus,Eneo BitriCracovia
Cracovia,cracovia,Bochnak M.,mateusz-bochnak,cracovia,2024/25,future_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:bochnak | token_overlap_slug:bochnak | sim>=0.92:1.000 | initial_match | same_club_bonus,Mateusz BochnakCracovia
Cracovia,cracovia,Bochnak M.,mateusz-bochnak,cracovia,2023/24,same_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:bochnak | token_overlap_slug:bochnak | sim>=0.92:1.000 | initial_match | same_club_bonus,Mateusz BochnakCracovia
Cracovia,cracovia,Bzdyl F.,fabian-bzdyl,cracovia,2025/26,future_season_same_club,109,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:bzdyl | token_overlap_slug:bzdyl | sim>=0.92:1.000 | initial_match | same_club_bonus,Fabian BzdylCracovia
Cracovia,cracovia,Bzdyl F.,fabian-bzdyl,cracovia,2024/25,future_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:bzdyl | token_overlap_slug:bzdyl | sim>=0.92:1.000 | initial_match | same_club_bonus,Fabian BzdylCracovia
Cracovia,cracovia,Bzdyl F.,fabian-bzdyl,cracovia,2023/24,same_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:bzdyl | token_overlap_slug:bzdyl | sim>=0.92:1.000 | initial_match | same_club_bonus,Fabian BzdylCracovia
Cracovia,cracovia,Ghita V.,virgil-ghita,cracovia,2024/25,future_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:ghita | token_overlap_slug:ghita | sim>=0.92:1.000 | initial_match | same_club_bonus,Virgil Eugen GhițăCracovia
Cracovia,cracovia,Ghita V.,virgil-ghita,cracovia,2023/24,same_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:ghita | token_overlap_slug:ghita | sim>=0.92:1.000 | initial_match | same_club_bonus,Virgil Eugen GhițăCracovia
