flash_team,flash_name,player_slug,identity_season_club_path,flash_initials,slug_given_initials
Górnik Zabrze,Podolski L.,ukasz-jozef-podolski,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,l,"u,j"
Korona Kielce,Shikavka Y.,evgeni-shikavka,2023/24:korona-kielce | 2024/25:korona-kielce,y,e
Lech Poznań,Douglas B.,alex-raymond-douglas,2024/25:lech-poznan | 2025/26:lech-poznan,b,"a,r"
Puszcza Niepołomice,Sołowiej L.,ukasz-soowiej,2023/24:puszcza-niepolomice | 2024/25:puszcza-niepolomice,l,u
Radomiak Radom,Cayarga B.,alberto-cayarga,2023/24:radomiak-radom,b,a
Radomiak Radom,Semedo E.,lisandro-pedro-varela-semedo,2023/24:radomiak-radom,e,"l,p,v"
Raków Częstochowa,Svarnas S.,efstratios-svarnas,2023/24:rakow-czestochowa | 2024/25:rakow-czestochowa | 2025/26:rakow-czestochowa,s,e
Ruch Chorzów,Moneta L.,ukasz-moneta,2023/24:ruch-chorzow,l,u
Stal Mielec,Gerstenstein L.,ukasz-gerstenstein,2023/24:stal-mielec | 2024/25:slask-wroclaw,l,u
Śląsk Wrocław,Kurowski M.,krzysztof-kurowski,2023/24:slask-wroclaw | 2024/25:slask-wroclaw,m,k
