flash_team,flash_name,expected_klub_slug,current_status,existing_player_slug,proposed_status,proposed_player_slug,evidence,candidate_count,top1_score,top1_relation,top1_clubs,top1_seasons,top1_path,top2_player_slug,top2_score,gap_top1_top2
Cracovia,Atanasov J.,cracovia,unresolved,,auto_same_club_history,jani-atanasov,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia | puszcza-niepolomice,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:puszcza-niepolomice | 2025/26:cracovia,,,999.0
Cracovia,Bitri E.,cracovia,unresolved,,auto_same_club_history,eneo-bitri,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24,2023/24:cracovia,,,999.0
Cracovia,Bochnak M.,cracovia,unresolved,,auto_same_club_history,mateusz-bochnak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Bzdyl F.,cracovia,unresolved,,auto_same_club_history,fabian-bzdyl,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Doba S.,cracovia,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
Cracovia,Dziewicki F.,cracovia,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
Cracovia,Ghita V.,cracovia,unresolved,,auto_same_club_history,virgil-ghita,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Glik K.,cracovia,unresolved,,auto_same_club_history,kamil-jacek-glik,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Golonka K.,cracovia,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
Cracovia,Hoskonen A.,cracovia,unresolved,,auto_same_club_history,arttu-hoskonen,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Hrosso L.,cracovia,unresolved,,auto_same_club_history,lukas-hrosso,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24,2023/24:cracovia,,,999.0
Cracovia,Hyla O.,cracovia,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
Cracovia,Jaroszynski P.,cracovia,unresolved,,auto_same_club_history,pawe-jaroszynski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Jodlowski K.,cracovia,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
Cracovia,Jugas J.,cracovia,unresolved,,auto_same_club_history,jakub-jugas,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Kakabadze O.,cracovia,unresolved,,auto_same_club_history,otar-kakabadze,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Kallman B.,cracovia,unresolved,,auto_same_club_history,benjamin-kallman,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Knap K.,cracovia,unresolved,,auto_same_club_history,karol-knap,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia | stal-mielec,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:stal-mielec | 2025/26:cracovia,,,999.0
Cracovia,Kolec B.,cracovia,unresolved,,auto_same_club_history,bartomiej-kolec,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24,2023/24:cracovia,,,999.0
Cracovia,Lusiusz S.,cracovia,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
Cracovia,Madejski S.,cracovia,unresolved,,auto_same_club_history,sebastian-madejski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Maigaard M.,cracovia,unresolved,,auto_same_club_history,mikkel-maigaard-jakobsen,all_flash_tokens_in_slug_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,105.0,same_club_target_season,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Makuch P.,cracovia,unresolved,,auto_same_club_history,patryk-makuch,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia | rakow-czestochowa,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:rakow-czestochowa | 2025/26:rakow-czestochowa,,,999.0
Cracovia,Myszor J.,cracovia,unresolved,,auto_same_club_history,jakub-myszor,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia | rakow-czestochowa,2023/24 | 2024/25,2023/24:cracovia | 2024/25:rakow-czestochowa,,,999.0
Cracovia,Ogorzaly K.,cracovia,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
Cracovia,Olafsson D.,cracovia,unresolved,,auto_same_club_history,davi-kristjan-olafsson,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Oshima T.,cracovia,unresolved,,auto_same_club_history,takuto-oshima,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24,2023/24:cracovia,,,999.0
Cracovia,Rakoczy M.,cracovia,unresolved,,auto_same_club_history,micha-miosz-rakoczy,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Rapa C.,cracovia,unresolved,,auto_same_club_history,cornel-rapa,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24,2023/24:cracovia,,,999.0
Cracovia,Rózga F.,cracovia,unresolved,,auto_same_club_history,filip-rozga,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Skovgaard A.,cracovia,unresolved,,auto_same_club_history,andreas-skovgaard-larsen,all_flash_tokens_in_slug_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,105.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Smiglewski K.,cracovia,unresolved,,auto_same_club_history,kacper-smiglewski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
