flash_team,flash_name,expected_klub_slug,candidate_player_slug,candidate_clubs_all,candidate_clubs_target,candidate_seasons_all,season_club_path,score,relation,reasons,sample_name,same_club_any,same_club_target,target_season_present,suffix_exact,initial_match,abbrev_match,mode_ascii,mode_slugstyle
Cracovia,Al Ammari A.,cracovia,amir-fouad-aboud-al-ammari,cracovia,cracovia,2024/25 | 2025/26,2024/25:cracovia | 2025/26:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Amir Al AmmariCracovia,1,1,1,1,1,0,1,1
Cracovia,Atanasov J.,cracovia,jani-atanasov,cracovia | puszcza-niepolomice,puszcza-niepolomice,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:puszcza-niepolomice | 2025/26:cracovia,121,same_club_history,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | present_in_target_season,Jani AtanasovCracovia,1,0,1,1,1,0,1,1
Cracovia,Biedrzycki B.,cracovia,bartosz-biedrzycki,cracovia,cracovia,2024/25 | 2025/26,2024/25:cracovia | 2025/26:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Bartosz BiedrzyckiCracovia,1,1,1,1,1,0,1,1
Cracovia,Bochnak M.,cracovia,mateusz-bochnak,cracovia,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Mateusz BochnakCracovia,1,1,1,1,1,0,1,1
Cracovia,Burek J.,cracovia,jakub-burek,wisla-plock,,2025/26,2025/26:wisla-plock,105,historical_other_club,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token,Jakub BurekWisła Płock,0,0,0,1,1,0,1,1
Cracovia,Bzdyl F.,cracovia,fabian-bzdyl,cracovia,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Fabian BzdylCracovia,1,1,1,1,1,0,1,1
Cracovia,Ghita V.,cracovia,virgil-ghita,cracovia,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Virgil Eugen GhițăCracovia,1,1,1,1,1,0,1,1
Cracovia,Glik K.,cracovia,kamil-jacek-glik,cracovia,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Kamil Jacek GlikCracovia,1,1,1,1,1,0,1,1
Cracovia,Hasic A.,cracovia,ajdin-hasic,cracovia,cracovia,2024/25 | 2025/26,2024/25:cracovia | 2025/26:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Ajdin HasićCracovia,1,1,1,1,1,0,1,1
Cracovia,Henriksson G.,cracovia,gustav-niklas-henriksson,cracovia,cracovia,2024/25 | 2025/26,2024/25:cracovia | 2025/26:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Gustav Niklas HenrikssonCracovia,1,1,1,1,1,0,1,1
Cracovia,Hoskonen A.,cracovia,arttu-hoskonen,cracovia,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Arttu HoskonenCracovia,1,1,1,1,1,0,1,1
Cracovia,Janasik P.,cracovia,patryk-janasik,cracovia | slask-wroclaw,cracovia,2023/24 | 2024/25,2023/24:slask-wroclaw | 2024/25:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Patryk JanasikŚląsk Wrocław,1,1,1,1,1,0,1,1
Cracovia,Jaroszynski P.,cracovia,pawe-jaroszynski,cracovia,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Paweł Kamil JaroszyńskiCracovia,1,1,1,1,1,0,1,1
Cracovia,Jugas J.,cracovia,jakub-jugas,cracovia,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Jakub JugasCracovia,1,1,1,1,1,0,1,1
Cracovia,Kakabadze O.,cracovia,otar-kakabadze,cracovia,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Otar KakabadzeCracovia,1,1,1,1,1,0,1,1
Cracovia,Kallman B.,cracovia,benjamin-kallman,cracovia,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Paul Benjamin Sven-Eber KällmanCracovia,1,1,1,1,1,0,1,1
Cracovia,Knap K.,cracovia,karol-knap,cracovia | stal-mielec,stal-mielec,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:stal-mielec | 2025/26:cracovia,121,same_club_history,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | present_in_target_season,Karol KnapCracovia,1,0,1,1,1,0,1,1
Cracovia,Lachowicz O.,cracovia,oskar-lachowicz,cracovia,cracovia,2024/25,2024/25:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Oskar LachowiczCracovia,1,1,1,1,1,0,1,1
Cracovia,Madejski S.,cracovia,sebastian-madejski,cracovia,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Sebastian MadejskiCracovia,1,1,1,1,1,0,1,1
Cracovia,Maigaard M.,cracovia,mikkel-maigaard-jakobsen,cracovia,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,105,same_club_target_season,all_flash_tokens_in_slug_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Mikkel Maigaard JakobsenCracovia,1,1,1,0,1,0,1,1
Cracovia,Minchev M.,cracovia,martin-yankov-minchev,cracovia,cracovia,2024/25 | 2025/26,2024/25:cracovia | 2025/26:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Martin Yankov MinchevCracovia,1,1,1,1,1,0,1,1
Cracovia,Olafsson D.,cracovia,davi-kristjan-olafsson,cracovia,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Davíð Kristján ÓlafssonCracovia,1,1,1,1,1,0,1,1
Cracovia,Perkovic M.,cracovia,mauro-perkovic,cracovia,cracovia,2024/25 | 2025/26,2024/25:cracovia | 2025/26:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Mauro PerkovićCracovia,1,1,1,1,1,0,1,1
Cracovia,Polak D.,cracovia,dawid-polak,cracovia,cracovia,2024/25,2024/25:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Dawid PolakCracovia,1,1,1,1,1,0,1,1
Cracovia,Polak D.,cracovia,cezary-polak,jagiellonia-bialystok,jagiellonia-bialystok,2024/25 | 2025/26,2024/25:jagiellonia-bialystok | 2025/26:jagiellonia-bialystok,94,other_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | present_in_target_season,Cezary PolakJagiellonia Białystok,0,0,1,1,0,0,1,1
Cracovia,Rakoczy M.,cracovia,micha-miosz-rakoczy,cracovia,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Michał Miłosz RakoczyCracovia,1,1,1,1,1,0,1,1
Cracovia,Ravas H.,cracovia,henrich-ravas,cracovia | widzew-lodz,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:widzew-lodz | 2024/25:cracovia | 2025/26:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Henrich RavasWidzew Łódź,1,1,1,1,1,0,1,1
