flash_team,flash_name,expected_klub_slug,candidate_player_slug,candidate_clubs_all,candidate_clubs_target,candidate_seasons_all,season_club_path,score,relation,reasons,sample_name,same_club_any,same_club_target,target_season_present,suffix_exact,initial_match,abbrev_match
Bruk-Bet Termalica Nieciecza,Janicki M.,nieciecza,rafa-janicki,gornik-zabrze,gornik-zabrze,2023/24 | 2024/25 | 2025/26,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,94,other_club_target_season,all_flash_tokens_in_slug | suffix_exact | present_in_target_season,Rafał JanickiGórnik Zabrze,0,0,1,1,0,0
Cracovia,Janasik P.,cracovia,patryk-janasik,cracovia | slask-wroclaw,,2023/24 | 2024/25,2023/24:slask-wroclaw | 2024/25:cracovia,117,same_club_history,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | same_club_history,Patryk JanasikŚląsk Wrocław,1,0,0,1,1,0
Cracovia,Jugas J.,cracovia,jakub-jugas,cracovia,,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,117,same_club_history,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | same_club_history,Jakub JugasCracovia,1,0,0,1,1,0
Cracovia,Skovgaard A.,cracovia,andreas-skovgaard-larsen,cracovia,,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,97,same_club_history,all_flash_tokens_in_slug | initial_match_any_given_token | same_club_history,Andreas Skovgaard LarsenCracovia,1,0,0,0,1,0
GKS Katowice,Jaroszek B.,gks-katowice,bartosz-jaroszek,gks-katowice,,2024/25,2024/25:gks-katowice,117,same_club_history,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | same_club_history,Bartosz JaroszekGKS Katowice,1,0,0,1,1,0
GKS Katowice,Jirka E.,gks-katowice,erik-jirka,piast-gliwice,piast-gliwice,2024/25 | 2025/26,2024/25:piast-gliwice | 2025/26:piast-gliwice,109,other_club_target_season,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | present_in_target_season,Erik JirkaPiast Gliwice,0,0,1,1,1,0
GKS Katowice,Marzec M.,gks-katowice,mateusz-marzec,gks-katowice,,2024/25,2024/25:gks-katowice,117,same_club_history,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | same_club_history,Mateusz MarzecGKS Katowice,1,0,0,1,1,0
GKS Katowice,Shkurin I.,gks-katowice,ilya-shkurin,legia-warszawa | stal-mielec,legia-warszawa,2023/24 | 2024/25 | 2025/26,2023/24:stal-mielec | 2024/25:legia-warszawa | 2025/26:legia-warszawa,109,other_club_target_season,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | present_in_target_season,Ilya ShkurinStal Mielec,0,0,1,1,1,0
GKS Katowice,Wdowiak M.,gks-katowice,mateusz-wdowiak,zagebie-lubin,zagebie-lubin,2023/24 | 2024/25 | 2025/26,2023/24:zagebie-lubin | 2024/25:zagebie-lubin | 2025/26:zagebie-lubin,109,other_club_target_season,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | present_in_target_season,Mateusz WdowiakKGHM Zagłębie Lubin,0,0,1,1,1,0
Górnik Zabrze,Rakoczy M.,gornik-zabrze,micha-miosz-rakoczy,cracovia,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,109,other_club_target_season,all_flash_tokens_in_slug | suffix_exact | initial_match_any_given_token | present_in_target_season,Michał Miłosz RakoczyCracovia,0,0,1,1,1,0
